country,iso3,year,value
Africa Eastern and Southern,AFE,2023,65.146290855385
Africa Western and Central,AFW,2023,58.8557215483277
Arab World,ARB,2023,72.4389553086745
Caribbean small states,CSS,2023,73.0335424531324
Central Europe and the Baltics,CEB,2023,77.8967836493153
Early-demographic dividend,EAR,2023,71.7950789094743
East Asia & Pacific,EAS,2023,76.6594765888736
East Asia & Pacific (excluding high income),EAP,2023,75.8806830895266
East Asia & Pacific (IDA & IBRD countries),TEA,2023,75.9085643603807
Euro area,EMU,2023,82.1949432665324
Europe & Central Asia,ECS,2023,78.3850839138524
Europe & Central Asia (excluding high income),ECA,2023,74.7998744387194
Europe & Central Asia (IDA & IBRD countries),TEC,2023,74.7306994657225
European Union,EUU,2023,81.4126559501651
Fragile and conflict affected situations,FCS,2023,63.3743016659334
Heavily indebted poor countries (HIPC),HPC,2023,64.7159054177481
High income,,2023,80.1499957797322
IBRD only,IBD,2023,74.5209812100688
IDA & IBRD total,IBT,2023,72.0009009386714
IDA blend,IDB,2023,62.4876667950939
IDA only,IDX,2023,66.9293832677072
IDA total,IDA,2023,65.4540086178864
Late-demographic dividend,LTE,2023,77.1301266573357
Latin America & Caribbean,LCN,2023,75.6435328335589
Latin America & Caribbean (excluding high income),LAC,2023,75.544082913773
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,75.5699258379688
Least developed countries: UN classification,LDC,2023,66.5161002597788
Low & middle income,LMY,2023,71.890489350994
Low income,,2023,65.0066676853219
Lower middle income,,2023,69.5997461613864
Middle East & North Africa,MEA,2023,74.7289418701614
Middle East & North Africa (excluding high income),MNA,2023,73.8091362831837
Middle East & North Africa (IDA & IBRD countries),TMN,2023,73.9117402297232
Middle income,MIC,2023,72.7502502557083
North America,NAC,2023,78.7346843354417
Not classified,,2023,
OECD members,OED,2023,80.163481709368
Other small states,OSS,2023,74.4073456931465
Pacific island small states,PSS,2023,69.2745949035856
Post-demographic dividend,PST,2023,80.8270373448395
Pre-demographic dividend,PRE,2023,62.1636298902791
Small states,SST,2023,73.5120016399266
South Asia,SAS,2023,71.5981522316417
South Asia (IDA & IBRD),TSA,2023,71.5981522316417
Sub-Saharan Africa,SSF,2023,62.6029134885664
Sub-Saharan Africa (excluding high income),SSA,2023,62.601738785829
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,62.6029134885664
Upper middle income,,2023,76.1948091960559
World,WLD,2023,73.3274749595865
Afghanistan,AFG,2023,66.035
Albania,ALB,2023,79.602
Algeria,DZA,2023,76.261
American Samoa,ASM,2023,72.852
Andorra,AND,2023,84.041
Angola,AGO,2023,64.617
Antigua and Barbuda,ATG,2023,77.598
Argentina,ARG,2023,77.395
Armenia,ARM,2023,77.4658536585366
Aruba,ABW,2023,76.353
Australia,AUS,2023,83.0512195121951
Austria,AUT,2023,81.5414634146342
Azerbaijan,AZE,2023,74.429
"Bahamas, The",BHS,2023,74.552
Bahrain,BHR,2023,81.284
Bangladesh,BGD,2023,74.672
Barbados,BRB,2023,76.178
Belarus,BLR,2023,74.1837804878049
Belgium,BEL,2023,82.3975609756098
Belize,BLZ,2023,73.566
Benin,BEN,2023,60.774
Bermuda,BMU,2023,82.309
Bhutan,BTN,2023,72.975
Bolivia,BOL,2023,68.581
Bosnia and Herzegovina,BIH,2023,77.85
Botswana,BWA,2023,69.163
Brazil,BRA,2023,75.848
British Virgin Islands,VGB,2023,77.276
Brunei Darussalam,BRN,2023,75.327
Bulgaria,BGR,2023,75.7073170731707
Burkina Faso,BFA,2023,61.092
Burundi,BDI,2023,63.651
Cabo Verde,CPV,2023,76.059
Cambodia,KHM,2023,70.668
Cameroon,CMR,2023,63.7
Canada,CAN,2023,81.6465853658537
Cayman Islands,CYM,2023,80.358
Central African Republic,CAF,2023,57.408
Chad,TCD,2023,55.069
Channel Islands,CHI,2023,81.1
Chile,CHL,2023,81.167
China,CHN,2023,77.953
Colombia,COL,2023,77.725
Comoros,COM,2023,66.777
"Congo, Dem. Rep.",COD,2023,61.895
"Congo, Rep.",COG,2023,65.772
Costa Rica,CRI,2023,80.799
Cote d'Ivoire,CIV,2023,61.944
Croatia,HRV,2023,78.4731707317073
Cuba,CUB,2023,78.085
Curacao,CUW,2023,76.8
Cyprus,CYP,2023,81.648
Czechia,CZE,2023,79.8780487804878
Denmark,DNK,2023,81.8536585365854
Djibouti,DJI,2023,65.987
Dominica,DMA,2023,71.132
Dominican Republic,DOM,2023,73.72
Ecuador,ECU,2023,77.392
"Egypt, Arab Rep.",EGY,2023,71.633
El Salvador,SLV,2023,72.099
Equatorial Guinea,GNQ,2023,63.707
Eritrea,ERI,2023,68.624
Estonia,EST,2023,78.490243902439
Eswatini,SWZ,2023,64.123
Ethiopia,ETH,2023,67.315
Faroe Islands,FRO,2023,83.1439024390244
Fiji,FJI,2023,67.316
Finland,FIN,2023,81.6853658536585
France,FRA,2023,82.9292682926829
French Polynesia,PYF,2023,84.07
Gabon,GAB,2023,68.337
"Gambia, The",GMB,2023,65.86
Georgia,GEO,2023,74.496
Germany,DEU,2023,80.5414634146342
Ghana,GHA,2023,65.498
Gibraltar,GIB,2023,83.553
Greece,GRC,2023,81.5365853658537
Greenland,GRL,2023,71.549756097561
Grenada,GRD,2023,75.205
Guam,GUM,2023,77.209
Guatemala,GTM,2023,72.602
Guinea,GIN,2023,60.74
Guinea-Bissau,GNB,2023,64.085
Guyana,GUY,2023,70.18
Haiti,HTI,2023,64.936
Honduras,HND,2023,72.884
"Hong Kong SAR, China",HKG,2023,85.2473170731707
Hungary,HUN,2023,76.7707317073171
Iceland,ISL,2023,82.6073170731707
India,IND,2023,72.003
Indonesia,IDN,2023,71.146
"Iran, Islamic Rep.",IRN,2023,77.654
Iraq,IRQ,2023,72.324
Ireland,IRL,2023,82.8609756097561
Isle of Man,IMN,2023,80.999
Israel,ISR,2023,83.1951219512195
Italy,ITA,2023,83.7
Jamaica,JAM,2023,71.479
Japan,JPN,2023,84.0412195121951
Jordan,JOR,2023,77.814
Kazakhstan,KAZ,2023,74.402
Kenya,KEN,2023,63.646
Kiribati,KIR,2023,66.473
"Korea, Dem. People's Rep.",PRK,2023,73.642
"Korea, Rep.",KOR,2023,83.4292682926829
Kosovo,XKX,2023,78.033
Kuwait,KWT,2023,83.1878048780488
Kyrgyz Republic,KGZ,2023,72.2487804878049
Lao PDR,LAO,2023,68.964
Latvia,LVA,2023,75.6780487804878
Lebanon,LBN,2023,77.817
Lesotho,LSO,2023,57.375
Liberia,LBR,2023,62.163
Libya,LBY,2023,69.339
Liechtenstein,LIE,2023,84.8414634146342
Lithuania,LTU,2023,76.9878048780488
Luxembourg,LUX,2023,83.3585365853659
"Macao SAR, China",MAC,2023,83.1804878048781
Madagascar,MDG,2023,63.632
Malawi,MWI,2023,67.353
Malaysia,MYS,2023,76.657
Maldives,MDV,2023,81.041
Mali,MLI,2023,60.439
Malta,MLT,2023,83.5073170731707
Marshall Islands,MHL,2023,66.945
Mauritania,MRT,2023,68.484
Mauritius,MUS,2023,73.4121951219512
Mexico,MEX,2023,75.069
"Micronesia, Fed. Sts.",FSM,2023,67.198
Moldova,MDA,2023,71.198
Monaco,MCO,2023,86.372
Mongolia,MNG,2023,72.1224390243902
Montenegro,MNE,2023,77.5878048780488
Morocco,MAR,2023,75.313
Mozambique,MOZ,2023,63.611
Myanmar,MMR,2023,66.889
Namibia,NAM,2023,67.385
Nauru,NRU,2023,62.109
Nepal,NPL,2023,70.354
Netherlands,NLD,2023,81.9146341463415
New Caledonia,NCL,2023,78.766
New Zealand,NZL,2023,83.0048780487805
Nicaragua,NIC,2023,74.947
Niger,NER,2023,61.183
Nigeria,NGA,2023,54.462
North Macedonia,MKD,2023,75.3160975609756
Northern Mariana Islands,MNP,2023,78.808
Norway,NOR,2023,83.1121951219512
Oman,OMN,2023,80.031
Pakistan,PAK,2023,67.649
Palau,PLW,2023,69.269
Panama,PAN,2023,79.594
Papua New Guinea,PNG,2023,66.134
Paraguay,PRY,2023,73.844
Peru,PER,2023,77.74
Philippines,PHL,2023,69.833
Poland,POL,2023,78.5073170731707
Portugal,PRT,2023,82.2804878048781
Puerto Rico,PRI,2023,81.69
Qatar,QAT,2023,82.368
Romania,ROU,2023,76.6073170731707
Russian Federation,RUS,2023,73.2546341463415
Rwanda,RWA,2023,67.785
Samoa,WSM,2023,71.698
San Marino,SMR,2023,85.706
Sao Tome and Principe,STP,2023,69.718
Saudi Arabia,SAU,2023,78.732
Senegal,SEN,2023,68.683
Serbia,SRB,2023,76.2209756097561
Seychelles,SYC,2023,74.9585365853659
Sierra Leone,SLE,2023,61.786
Singapore,SGP,2023,82.8951219512195
Sint Maarten (Dutch part),SXM,2023,76.371
Slovak Republic,SVK,2023,78.0170731707317
Slovenia,SVN,2023,81.9780487804878
Solomon Islands,SLB,2023,70.528
Somalia,SOM,2023,58.816
South Africa,ZAF,2023,66.139
South Sudan,SSD,2023,57.617
Spain,ESP,2023,83.8829268292683
Sri Lanka,LKA,2023,77.483
St. Kitts and Nevis,KNA,2023,72.145
St. Lucia,LCA,2023,72.697
St. Martin (French part),MAF,2023,80.224
St. Vincent and the Grenadines,VCT,2023,71.23
Sudan,SDN,2023,66.331
Suriname,SUR,2023,73.631
Sweden,SWE,2023,83.309756097561
Switzerland,CHE,2023,84.0560975609756
Syrian Arab Republic,SYR,2023,72.12
Tajikistan,TJK,2023,71.79
Tanzania,TZA,2023,66.995
Thailand,THA,2023,76.412
Timor-Leste,TLS,2023,67.689
Togo,TGO,2023,62.739
Tonga,TON,2023,72.895
Trinidad and Tobago,TTO,2023,73.49
Tunisia,TUN,2023,76.508
Turkiye,TUR,2023,77.156
Turkmenistan,TKM,2023,70.073
Turks and Caicos Islands,TCA,2023,78.008
Tuvalu,TUV,2023,67.105
Uganda,UGA,2023,68.252
Ukraine,UKR,2023,73.422
United Arab Emirates,ARE,2023,82.909
United Kingdom,GBR,2023,81.2380975609756
United States,USA,2023,78.3853658536585
Uruguay,URY,2023,78.138
Uzbekistan,UZB,2023,72.388
Vanuatu,VUT,2023,71.477
"Venezuela, RB",VEN,2023,72.514
Viet Nam,VNM,2023,74.588
Virgin Islands (U.S.),VIR,2023,80.519512195122
West Bank and Gaza,PSE,2023,65.17
"Yemen, Rep.",YEM,2023,69.295
Zambia,ZMB,2023,66.349
Zimbabwe,ZWE,2023,62.775
